# cementer synthetic cement-job stream
# fields: pressure(psi),rate(bbl/min),density(ppg),volume(bbl)
1965,4.41,10.13,3.2
1972,4.42,10.15,3.2
1977,4.43,10.16,3.2
1981,4.45,10.17,3.2
1984,4.47,10.18,3.3
1985,4.49,10.20,3.3
1986,4.51,10.21,3.3
1985,4.53,10.22,3.3
1983,4.56,10.23,3.3
1980,4.59,10.25,3.4
1976,4.62,10.26,3.4
1971,4.65,10.27,3.4
1965,4.69,10.28,3.4
1959,4.72,10.30,3.4
1952,4.76,10.31,3.5
1944,4.81,10.32,3.5
1936,4.85,10.34,3.5
1927,4.89,10.35,3.5
1918,4.94,10.36,3.5
1909,4.99,10.37,3.6
1900,5.04,10.39,3.6
1891,5.09,10.40,3.6
1881,5.15,10.41,3.6
1872,5.20,10.42,3.6
1863,5.26,10.44,3.7
1855,5.31,10.45,3.7
1847,5.37,10.46,3.7
1839,5.43,10.47,3.7
1832,5.49,10.49,3.8

# stage marker
1826,5.55,10.50,3.8
1820,5.61,10.51,3.8
1816,5.68,10.53,3.8
1812,5.74,10.54,3.9
1809,5.80,10.55,3.9
1808,5.87,10.56,3.9
1807,5.93,10.58,3.9
1808,5.99,10.59,3.9
1810,6.06,10.60,4.0
1813,6.12,10.61,4.0
1817,6.19,10.63,4.0
1823,6.25,10.64,4.1
1830,6.31,10.65,4.1
1839,6.38,10.66,4.1
1849,6.44,10.68,4.1
1860,6.50,10.69,4.2
1873,6.56,10.70,4.2
1887,6.62,10.72,4.2
1903,6.68,10.73,4.2
1920,6.73,10.74,4.3
1938,6.79,10.75,4.3
1958,6.85,10.77,4.3
1979,6.90,10.78,4.4
2001,6.95,10.79,4.4
2025,7.00,10.80,4.4
2049,7.05,10.82,4.4
2075,7.10,10.83,4.5
2102,7.14,10.84,4.5
2130,7.19,10.85,4.5
2159,7.23,10.87,4.6
2188,7.27,10.88,4.6
2219,7.31,10.89,4.6
2250,7.34,10.91,4.7
2281,7.38,10.92,4.7
2314,7.41,10.93,4.7
2346,7.44,10.94,4.7
2379,7.46,10.96,4.8
2412,7.49,10.97,4.8
2445,7.51,10.98,4.8
2479,7.53,10.99,4.9
2512,7.55,11.01,4.9
2545,7.56,11.02,4.9
2578,7.58,11.03,5.0
2611,7.59,11.04,5.0
2643,7.59,11.06,5.0
2674,7.60,11.07,5.1
2705,7.60,11.08,5.1
2736,7.60,11.10,5.1
2765,7.60,11.11,5.2
2794,7.59,11.12,5.2
2822,7.58,11.13,5.2
2849,7.57,11.15,5.3
2875,7.56,11.16,5.3
2899,7.54,11.17,5.3
2923,7.53,11.18,5.3
2945,7.51,11.20,5.4
2966,7.48,11.21,5.4
2986,7.46,11.22,5.4
3004,7.43,11.23,5.5
3021,7.40,11.25,5.5
3037,7.37,11.26,5.5
3051,7.33,11.27,5.6
3064,7.30,11.29,5.6
3075,7.26,11.30,5.6
3085,7.22,11.31,5.7
3094,7.18,11.32,5.7
3101,7.13,11.34,5.7
3107,7.08,11.35,5.7
3111,7.04,11.36,5.8
3114,6.99,11.37,5.8
3116,6.94,11.39,5.8
3117,6.88,11.40,5.9
3116,6.83,11.41,5.9
3115,6.77,11.42,5.9
3112,6.72,11.44,5.9
3108,6.66,11.45,6.0
3103,6.60,11.46,6.0
3098,6.54,11.48,6.0
3092,6.48,11.49,6.1
3085,6.42,11.50,6.1
3077,6.36,11.51,6.1
3069,6.29,11.53,6.1
3060,6.23,11.54,6.2
3052,6.17,11.55,6.2
3042,6.10,11.56,6.2
3033,6.04,11.58,6.2
3024,5.98,11.59,6.3
3015,5.91,11.60,6.3
3005,5.85,11.61,6.3
2996,5.78,11.63,6.3
2988,5.72,11.64,6.4
2980,5.66,11.65,6.4
2972,5.60,11.67,6.4
2965,5.53,11.68,6.4
2958,5.47,11.69,6.4
2953,5.41,11.70,6.5
2948,5.35,11.72,6.5
2944,5.30,11.73,6.5
2941,5.24,11.74,6.5
2939,5.18,11.75,6.6
2938,5.13,11.77,6.6
2938,5.08,11.78,6.6
2940,5.03,11.79,6.6
2943,4.98,11.80,6.6
2947,4.93,11.82,6.7
2952,4.88,11.83,6.7
2959,4.84,11.84,6.7
2967,4.79,11.86,6.7
2977,4.75,11.87,6.7
2988,4.71,11.88,6.8
3000,4.68,11.89,6.8
3014,4.64,11.91,6.8
3030,4.61,11.92,6.8
3046,4.58,11.93,6.8
3064,4.55,11.94,6.9
3084,4.52,11.96,6.9
3104,4.50,11.97,6.9
3126,4.48,11.98,6.9
3150,4.46,11.99,6.9
3174,4.44,12.01,7.0
3200,4.43,12.02,7.0
3226,4.42,12.03,7.0
3254,4.41,12.05,7.0
3282,4.40,12.06,7.0
3312,4.40,12.07,7.0
3342,4.40,12.08,7.1
3373,4.40,12.10,7.1
3404,4.41,12.11,7.1
3436,4.41,12.12,7.1
3469,4.42,12.13,7.1
3502,4.43,12.15,7.2
3535,4.45,12.16,7.2
3568,4.46,12.17,7.2
3601,4.48,12.18,7.2
3635,4.51,12.20,7.2
3668,4.53,12.21,7.2
3701,4.56,12.22,7.3
3734,4.58,12.24,7.3
3766,4.62,12.25,7.3
3798,4.65,12.26,7.3
3829,4.68,12.27,7.3
3859,4.72,12.29,7.4
3889,4.76,12.30,7.4
3918,4.80,12.31,7.4
3946,4.85,12.32,7.4
3973,4.89,12.34,7.4
3999,4.94,12.35,7.5
4024,4.99,12.36,7.5
4048,5.04,12.37,7.5
4071,5.09,12.39,7.5

# stage marker
4092,5.14,12.40,7.5
4112,5.20,12.41,7.6
4131,5.25,12.43,7.6
4148,5.31,12.44,7.6
4164,5.37,12.45,7.6
4179,5.43,12.46,7.7
4192,5.49,12.48,7.7
4204,5.55,12.49,7.7
4214,5.61,12.50,7.7
4223,5.67,12.51,7.8
4230,5.74,12.53,7.8
4236,5.80,12.54,7.8
4241,5.86,12.55,7.8
4245,5.93,12.56,7.9
4247,5.99,12.58,7.9
4248,6.05,12.59,7.9
4247,6.12,12.60,7.9
4246,6.18,12.62,8.0
4244,6.24,12.63,8.0
4240,6.31,12.64,8.0
4236,6.37,12.65,8.0
4230,6.43,12.67,8.1
4224,6.49,12.68,8.1
4217,6.55,12.69,8.1
4210,6.61,12.70,8.1
4202,6.67,12.72,8.2
4194,6.73,12.73,8.2
4185,6.79,12.74,8.2
4176,6.84,12.75,8.3
4166,6.89,12.77,8.3
4157,6.95,12.78,8.3
4148,7.00,12.79,8.3
4139,7.05,12.81,8.4
4130,7.09,12.82,8.4
4121,7.14,12.83,8.4
4113,7.18,12.84,8.5
4105,7.23,12.86,8.5
4098,7.27,12.87,8.5
4091,7.30,12.88,8.5
4085,7.34,12.89,8.6
4080,7.37,12.91,8.6
4076,7.41,12.92,8.6
4072,7.44,12.93,8.7
4070,7.46,12.94,8.7
4069,7.49,12.96,8.7
4069,7.51,12.97,8.8
4070,7.53,12.98,8.8
4073,7.55,13.00,8.8
4077,7.56,13.01,8.9
4082,7.57,13.02,8.9
4088,7.58,13.03,8.9
4096,7.59,13.05,9.0
4105,7.60,13.06,9.0
4116,7.60,13.07,9.0
4128,7.60,13.08,9.0
4142,7.60,13.10,9.1
4157,7.59,13.11,9.1
4173,7.58,13.12,9.1
4191,7.57,13.13,9.2
4210,7.56,13.15,9.2
4230,7.55,13.16,9.2
4252,7.53,13.17,9.3
4275,7.51,13.19,9.3
4299,7.48,13.20,9.3
4324,7.46,13.21,9.4
4351,7.43,13.22,9.4
4378,7.40,13.24,9.4
4406,7.37,13.25,9.5
4435,7.34,13.26,9.5
4465,7.30,13.27,9.5
4496,7.26,13.29,9.5
4528,7.22,13.30,9.6
4559,7.18,13.31,9.6
4592,7.13,13.32,9.6
4625,7.09,13.34,9.7
4658,7.04,13.35,9.7
4691,6.99,13.36,9.7
4724,6.94,13.38,9.8
4758,6.89,13.39,9.8
4791,6.83,13.40,9.8
4824,6.78,13.41,9.8
4857,6.72,13.43,9.9
4889,6.66,13.44,9.9
4921,6.61,13.45,9.9
4952,6.55,13.46,9.9
4983,6.48,13.48,10.0
5013,6.42,13.49,10.0
5042,6.36,13.50,10.0
5070,6.30,13.51,10.1
5098,6.24,13.53,10.1
5124,6.17,13.54,10.1
5149,6.11,13.55,10.1
5173,6.04,13.57,10.2
5196,5.98,13.58,10.2
5218,5.92,13.59,10.2
5238,5.85,13.60,10.2
5257,5.79,13.62,10.3
5275,5.73,13.63,10.3
5291,5.66,13.64,10.3
5306,5.60,13.65,10.3
5320,5.54,13.67,10.4
5332,5.48,13.68,10.4
5343,5.42,13.69,10.4
5352,5.36,13.70,10.4
5360,5.30,13.72,10.4
5366,5.24,13.73,10.5
5371,5.19,13.74,10.5
5375,5.13,13.76,10.5
5377,5.08,13.77,10.5
5379,5.03,13.78,10.5
5379,4.98,13.79,10.6
5377,4.93,13.81,10.6
5375,4.88,13.82,10.6
5372,4.84,13.83,10.6
5368,4.80,13.84,10.6
5363,4.75,13.86,10.7
5357,4.72,13.87,10.7
5350,4.68,13.88,10.7
5343,4.64,13.89,10.7
5335,4.61,13.91,10.7
5327,4.58,13.92,10.8
5318,4.55,13.93,10.8
5309,4.53,13.95,10.8
5300,4.50,13.96,10.8
5290,4.48,13.97,10.8
5281,4.46,13.98,10.9
5272,4.45,14.00,10.9
5263,4.43,14.01,10.9
5254,4.42,14.02,10.9
5246,4.41,14.03,10.9
5238,4.40,14.05,11.0
5230,4.40,14.06,11.0
5223,4.40,14.07,11.0
5217,4.40,14.08,11.0
5212,4.41,14.10,11.0
5208,4.41,14.11,11.0
5204,4.42,14.12,11.1
5202,4.43,14.14,11.1
5200,4.45,14.15,11.1
5200,4.46,14.16,11.1
5201,4.48,14.17,11.1
5203,4.50,14.19,11.2
5207,4.53,14.20,11.2
5211,4.55,14.21,11.2
5218,4.58,14.22,11.2
5225,4.61,14.24,11.2
5234,4.65,14.25,11.3
5244,4.68,14.26,11.3
5256,4.72,14.27,11.3
5269,4.76,14.29,11.3

# stage marker
5284,4.80,14.30,11.3
5300,4.84,14.31,11.3
5317,4.89,14.33,11.4
5336,4.93,14.34,11.4
5356,4.98,14.35,11.4
5377,5.03,14.36,11.4
5400,5.08,14.38,11.5
5424,5.14,14.39,11.5
5449,5.19,14.40,11.5
5475,5.25,14.41,11.5
5502,5.30,14.43,11.5
5530,5.36,14.44,11.6
5559,5.42,14.45,11.6
5589,5.48,14.46,11.6
5619,5.54,14.48,11.6
5651,5.60,14.49,11.7
5682,5.67,14.50,11.7
5715,5.73,14.52,11.7
5747,5.79,14.53,11.7
5780,5.86,14.54,11.8
5814,5.92,14.55,11.8
5847,5.98,14.57,11.8
5880,6.05,14.58,11.8
5913,6.11,14.59,11.9
5947,6.18,14.60,11.9
5979,6.24,14.62,11.9
6012,6.30,14.63,11.9
6044,6.37,14.64,12.0
6075,6.43,14.65,12.0
6106,6.49,14.67,12.0
6136,6.55,14.68,12.0
6166,6.61,14.69,12.1
6194,6.67,14.71,12.1
6222,6.73,14.72,12.1
6249,6.78,14.73,12.1
6274,6.84,14.74,12.2
6298,6.89,14.76,12.2
6322,6.94,14.77,12.2
6344,6.99,14.78,12.3
6364,7.04,14.79,12.3
6384,7.09,14.81,12.3
6402,7.14,14.82,12.4
6418,7.18,14.83,12.4
6434,7.22,14.84,12.4
6448,7.26,14.86,12.4
6460,7.30,14.87,12.5
6471,7.34,14.88,12.5
6481,7.37,14.90,12.5
6489,7.40,14.91,12.6
6496,7.43,14.92,12.6
6501,7.46,14.93,12.6
6505,7.49,14.95,12.7
6508,7.51,14.96,12.7
6509,7.53,14.97,12.7
6510,7.55,14.98,12.8
6509,7.56,15.00,12.8
6507,7.57,15.01,12.8
6504,7.58,15.02,12.8
6500,7.59,15.03,12.9
6495,7.60,15.05,12.9
6489,7.60,15.06,12.9
6483,7.60,15.07,13.0
6476,7.60,15.09,13.0
6468,7.59,15.10,13.0
6460,7.58,15.11,13.1
6451,7.57,15.12,13.1
6442,7.56,15.14,13.1
6433,7.55,15.15,13.2
6424,7.53,15.16,13.2
6414,7.51,15.17,13.2
6405,7.49,15.19,13.3
6396,7.46,15.20,13.3
6387,7.43,15.21,13.3
6379,7.40,15.22,13.3
6371,7.37,15.24,13.4
6363,7.34,15.25,13.4
6356,7.30,15.26,13.4
6350,7.26,15.28,13.5
6344,7.22,15.29,13.5
6340,7.18,15.30,13.5
6336,7.14,15.31,13.6
6333,7.09,15.33,13.6
6332,7.04,15.34,13.6
6331,7.00,15.35,13.6
6332,6.94,15.36,13.7
6333,6.89,15.38,13.7
6337,6.84,15.39,13.7
6341,6.78,15.40,13.8
6347,6.73,15.41,13.8
6354,6.67,15.43,13.8
6363,6.61,15.44,13.8
6373,6.55,15.45,13.9
6384,6.49,15.47,13.9
6397,6.43,15.48,13.9
6411,6.37,15.49,14.0
6427,6.30,15.50,14.0
6444,6.24,15.52,14.0
6462,6.18,15.53,14.0
6482,6.11,15.54,14.1
6503,6.05,15.55,14.1
6525,5.99,15.57,14.1
6549,5.92,15.58,14.1
6574,5.86,15.59,14.2
6599,5.79,15.60,14.2
6626,5.73,15.62,14.2
6654,5.67,15.63,14.2
6683,5.61,15.64,14.3
6712,5.54,15.66,14.3
6743,5.48,15.67,14.3
6774,5.42,15.68,14.3
6806,5.36,15.69,14.3
6838,5.31,15.71,14.4
6870,5.25,15.72,14.4
6903,5.19,15.73,14.4
6936,5.14,15.74,14.4
6970,5.08,15.76,14.5
7003,5.03,15.77,14.5
7036,4.98,15.78,14.5
7069,4.93,15.79,14.5
7102,4.89,15.81,14.5
7135,4.84,15.82,14.6
7167,4.80,15.83,14.6
7199,4.76,15.85,14.6
7230,4.72,15.86,14.6
7260,4.68,15.87,14.6
7290,4.65,15.88,14.7
7318,4.61,15.90,14.7
7346,4.58,15.91,14.7
7373,4.55,15.92,14.7
7399,4.53,15.93,14.7
7424,4.50,15.95,14.7
7447,4.48,15.96,14.8
7469,4.46,15.97,14.8
7490,4.45,15.98,14.8
7510,4.43,16.00,14.8
7528,4.42,16.01,14.8
7545,4.41,16.02,14.9
7561,4.41,16.04,14.9
7575,4.40,16.05,14.9
7588,4.40,16.06,14.9
7599,4.40,16.07,14.9
7609,4.40,16.09,15.0
7618,4.41,16.10,15.0
7625,4.42,16.11,15.0
7631,4.43,16.12,15.0
7635,4.45,16.14,15.0
7638,4.46,16.15,15.0
7640,4.48,16.16,15.1
7641,4.50,16.17,15.1
7640,4.53,16.19,15.1

# stage marker
